ID,Name,Location,Difficulty,Rating,Length,Gain,Route,Keywords,Link,img1,img2,img3,img1_url,img2_url,img3_url
wapta-falls,Wapta Falls,Yoho National Park,easy,4.3,5.1,135,Out & Back,"Dogs on leash, Kid friendly, Hiking, Walking, Forest, River, Views, Waterfall, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/wapta-falls?ref=result-card,wapta-falls-0,wapta-falls-1,wapta-falls-2,https://cdn-assets.alltrails.com/uploads/photo/image/19502074/large_56fb312f807464e888c95a552507df3e.jpg,https://cdn-assets.alltrails.com/uploads/photo/image/34709353/large_da061dd515716a319fc055263dcab753.jpg,https://cdn-assets.alltrails.com/uploads/photo/image/34709353/large_da061dd515716a319fc055263dcab753.jpg
stanley-park-seawall-trail,Stanley Park Seawall Trail,Stanley Park,easy,4.5,9.3,69,Loop,"Dogs on leash, Wheelchair friendly, Kid friendly, Stroller friendly, Nature trips, Road biking, Walking, Bird watching, Running, Beach, Forest, Lake, Paved, River, Views, Wildflowers, City walk",https://www.alltrails.com/trail/canada/british-columbia/stanley-park-seawall-trail?ref=result-card,stanley-park-seawall-trail-0,stanley-park-seawall-trail-1,stanley-park-seawall-trail-2,https://cdn-assets.alltrails.com/uploads/photo/image/20969705/large_5c8e7b9f9cecb544d579c0377d54b4a9.jpg,https://cdn-assets.alltrails.com/uploads/photo/image/34901111/large_f20324ae4b2059e2debb1a25da7ddbbd.jpg,https://cdn-assets.alltrails.com/uploads/photo/image/34901111/large_f20324ae4b2059e2debb1a25da7ddbbd.jpg
takakkaw-falls-trail,Takakkaw Falls Trail,Yoho National Park,easy,4.3,1.3,37,Out & Back,"Dogs on leash, Wheelchair friendly, Kid friendly, Stroller friendly, Hiking, Nature trips, Walking, Bird watching, Paved, River, Views, Waterfall, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/takakkaw-falls-trail?ref=result-card,takakkaw-falls-trail-0,takakkaw-falls-trail-1,takakkaw-falls-trail-2,https://cdn-assets.alltrails.com/uploads/photo/image/27692861/large_360f65540f0878008a1a772be9f75cdc.jpg,https://cdn-assets.alltrails.com/uploads/photo/image/30344628/large_6e531e8e9119a6b5315c81605d14b281.jpg,https://cdn-assets.alltrails.com/uploads/photo/image/30344628/large_6e531e8e9119a6b5315c81605d14b281.jpg
ucluelets-wild-pacific-trail-lighthouse-loop,Wild Pacific Trail: Lighthouse Loop,"Ucluelet, British Columbia",easy,4.4,2.9,68,Loop,"Dogs on leash, Kid friendly, Stroller friendly, Hiking, Walking, Running, Beach, Partially paved, Views",https://www.alltrails.com/trail/canada/british-columbia/ucluelets-wild-pacific-trail-lighthouse-loop?ref=result-card,ucluelets-wild-pacific-trail-lighthouse-loop-0,ucluelets-wild-pacific-trail-lighthouse-loop-1,ucluelets-wild-pacific-trail-lighthouse-loop-2,https://cdn-assets.alltrails.com/uploads/photo/image/23327937/large_11830c31cc137396aec2227def75be86.jpg,https://cdn-assets.alltrails.com/uploads/photo/image/34905418/large_c95716b6cb34acd0595bb9500fa56804.jpg,https://cdn-assets.alltrails.com/uploads/photo/image/34905418/large_c95716b6cb34acd0595bb9500fa56804.jpg
whistler-trainwreck-trail,Whistler Trainwreck and Millar Creek Trail,"Whistler, British Columbia",easy,4.2,5.8,109,Out & Back,"Dogs on leash, Kid friendly, Hiking, Mountain biking, Nature trips, Walking, Forest, River, Views, Waterfall, Wildflowers, Wildlife, Rocky, Historic site",https://www.alltrails.com/trail/canada/british-columbia/whistler-trainwreck-trail?ref=result-card,whistler-trainwreck-trail-0,whistler-trainwreck-trail-1,whistler-trainwreck-trail-2,https://cdn-assets.alltrails.com/uploads/photo/image/19473051/large_d76f3ba342457c38c60c90134b3fe9b0.jpg,https://cdn-assets.alltrails.com/uploads/photo/image/34731899/large_8243a97564134cd120abf03aa5446c0b.jpg,https://cdn-assets.alltrails.com/uploads/photo/image/34731899/large_8243a97564134cd120abf03aa5446c0b.jpg
east-canyon-to-lower-falls-loop-trail,East Canyon Trail to Lower Gold Creek Falls Loop,Golden Ears Provincial Park,easy,4.3,5.8,165,Loop,"Dogs on leash, Kid friendly, Hiking, Forest, River, Views, Waterfall, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/east-canyon-to-lower-falls-loop-trail?ref=result-card,east-canyon-to-lower-falls-loop-trail-0,east-canyon-to-lower-falls-loop-trail-1,east-canyon-to-lower-falls-loop-trail-2,https://cdn-assets.alltrails.com/uploads/photo/image/19976889/large_7c16796c59db904669fc74dec5586370.jpg,https://cdn-assets.alltrails.com/uploads/photo/image/34836904/large_4ba3a16535c6a425617e825898f2a039.jpg,https://cdn-assets.alltrails.com/uploads/photo/image/34836904/large_4ba3a16535c6a425617e825898f2a039.jpg
maple-valley-and-shore-pine-trail,"Maple, Valley and Shore Pine Trail",Lighthouse Park,easy,4.4,3.9,186,Loop,"Kid friendly, Hiking, Nature trips, Walking, Running, Beach, Dog friendly, Forest, Views, Wildlife, Rocky",https://www.alltrails.com/trail/canada/british-columbia/maple-valley-and-shore-pine-trail?ref=result-card,maple-valley-and-shore-pine-trail-0,maple-valley-and-shore-pine-trail-1,maple-valley-and-shore-pine-trail-2,https://cdn-assets.alltrails.com/uploads/photo/image/27209556/large_02675326e20d08f75c1d71a5e73718ce.jpg,https://cdn-assets.alltrails.com/uploads/photo/image/34900019/large_e5e40c02404ec826d34ab5728b631c54.jpg,https://cdn-assets.alltrails.com/uploads/photo/image/34900019/large_e5e40c02404ec826d34ab5728b631c54.jpg
lower-gold-creek-falls-trail,Lower Gold Creek Falls Trail,Golden Ears Provincial Park,easy,4,5.5,92,Out & Back,"Dogs on leash, Kid friendly, Camping, Hiking, Nature trips, Bird watching, Running, Beach, Forest, Lake, River, Views, Waterfall, Wildflowers, Wildlife, Muddy",https://www.alltrails.com/trail/canada/british-columbia/lower-gold-creek-falls-trail?ref=result-card,lower-gold-creek-falls-trail-0,lower-gold-creek-falls-trail-1,lower-gold-creek-falls-trail-2,https://cdn-assets.alltrails.com/uploads/photo/image/26572155/large_ddef239eba231ef1d745551f53745722.jpg,https://cdn-assets.alltrails.com/uploads/photo/image/34836904/large_4ba3a16535c6a425617e825898f2a039.jpg,https://cdn-assets.alltrails.com/uploads/photo/image/34836904/large_4ba3a16535c6a425617e825898f2a039.jpg
emerald-lake-loop,Emerald Lake Loop,Yoho National Park,easy,4.3,5.1,115,Loop,"Dogs on leash, Kid friendly, Hiking, Nature trips, Paddle sports, Walking, Running, Forest, Lake, Views, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/emerald-lake-loop?ref=result-card,emerald-lake-loop-0,emerald-lake-loop-1,emerald-lake-loop-2,https://cdn-assets.alltrails.com/uploads/photo/image/23872300/large_cc5a32dc153da713903474c6ebe88808.jpg,https://cdn-assets.alltrails.com/uploads/photo/image/34337827/large_271afbb8c68ae0f244e59a59d61a4bb6.jpg,https://cdn-assets.alltrails.com/uploads/photo/image/34337827/large_271afbb8c68ae0f244e59a59d61a4bb6.jpg
teapot-hill,Teapot Hill,Cultus Lake Provincial Park,easy,4.2,4.8,265,Out & Back,"Dogs on leash, Kid friendly, Hiking, Walking, Forest, River, Views, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/teapot-hill?ref=result-card,teapot-hill-0,teapot-hill-1,teapot-hill-2,https://cdn-assets.alltrails.com/uploads/photo/image/26700491/large_7e24c3d8ee377ecbb8c81bfcb84db23f.jpg,https://cdn-assets.alltrails.com/uploads/photo/image/34884365/large_a169f16f679aa87b699551a5b8dfccfe.jpg,https://cdn-assets.alltrails.com/uploads/photo/image/34884365/large_a169f16f679aa87b699551a5b8dfccfe.jpg
